#	Schüler
+++	Schuljahr	2016
+++	Klasse	12

PID	PSORT	FIRSTNAME	LASTNAME	STREAM	FIRSTNAMES	DOB_D	POB	SEX	HOME	ENTRY_D	EXIT_D	QUALI_D

200401	Arnold Rufus	Rufus	Arnold	RS	Rufus	1997-12-07	Hannover	m	Hannover	2004-08-01
201052	Duerre Robin	Robin	Dürre	Gym	Robin Ortwin	1997-05-05	Hannover	m	Hannover	2010-08-01		2015-09-03
200403	Glanzlicht Stefanie	Stefanie	Glanzlicht	RS	Stefanie	1997-11-18	Rothenburg ob der Tauber	w	Hannover	2004-08-01
200404	Harnisch Hermione	Hermione	Harnisch	Gym	Hermione	1998-02-27	Hannover	w	Hannover	2004-08-01		2015-09-03
200407	Lohmeier Lieselotte	Lieselotte	Lohmeier	HS	Lieselotte	1997-07-21	Hamburg	w	Hannover	2004-08-01
200408	Mandelbrot Kevin	Kevin	Mandelbrot	Gym	Kevin Friedemann	1997-08-13	Hannover	m	Hannover	2004-08-01		2015-09-03
200853	Stelzingen von Stefan	Stefan	von Stelzingen	Gym	Augustus Balthasar Friedhelm Stefan	1997-11-06	Göttingen	m	Hannover	2008-05-01		2015-09-03
200651	Astrein Renate	Renate	Astrein	Gym	Renate Maren	1997-09-26	Peine	w	Uetze	2006-08-01		2015-09-03
200888	Raendier Rudolf	Rudolf	Rändier	RS	Rudolf Serädnös	1998-04-01	Lappland	m	Nordpol	2012-12-24
